data_name,column_name,description,type
healsl_rd1_rapid_gpt3_v2,rowid,Unique identifier for each row in the dataset,int
healsl_rd1_rapid_gpt3_v2,cause1_icd10,First ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt3_v2,cause2_icd10,Second ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt3_v2,cause3_icd10,Third ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt3_v2,cause4_icd10,Fourth ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt3_v2,cause5_icd10,Fifth ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt3_v2,param_model,Specific model used for the analysis.,text
healsl_rd1_rapid_gpt3_v2,param_system_prompt,Provide more broad instructions to the model,text
healsl_rd1_rapid_gpt3_v2,param_user_prompt,Provide more specific instructions to the model,text
healsl_rd1_rapid_gpt3_v2,param_max_tokens,Maximum number of tokens allowed in the output,int
healsl_rd1_rapid_gpt3_v2,param_temperature,"Range from 0 to 2; lower values make the output more focused and deterministic, while higher values make it more random.",int
healsl_rd1_rapid_gpt3_v2,output_created,Date and time (Eastern time) when the output was generated.,text
healsl_rd1_rapid_gpt3_v2,output_usage_completion_tokens,Number of tokens used in the output prompt,int
healsl_rd1_rapid_gpt3_v2,output_usage_prompt_tokens,Number of tokens used in the input prompt,int
healsl_rd1_rapid_gpt3_v2,output_msg,Output assigned by the model,text
healsl_rd1_rapid_gpt3_v2,icd10_count,Number of ICD-10 codes extracted from the output,int
healsl_rd1_rapid_gpt3_v2,output_probs,"List of dictionaries containing ICD-10 codes, their log probabilities, and mean probability",text
healsl_rd1_rapid_gpt3_v2,age_group,Age group of the deceased,text
healsl_rd1_rapid_gpt3_v2,round,Study round when the verbal autopsy record was collected,text
healsl_rd1_rapid_gpt3_v2,output,"Raw output object assigned by the model, converted to JSON format",text
healsl_rd2_rapid_gpt3_v2,rowid,Unique identifier for each row in the dataset,int
healsl_rd2_rapid_gpt3_v2,cause1_icd10,First ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt3_v2,cause2_icd10,Second ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt3_v2,cause3_icd10,Third ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt3_v2,cause4_icd10,Fourth ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt3_v2,cause5_icd10,Fifth ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt3_v2,param_model,Specific model used for the analysis.,text
healsl_rd2_rapid_gpt3_v2,param_system_prompt,Provide more broad instructions to the model,text
healsl_rd2_rapid_gpt3_v2,param_user_prompt,Provide more specific instructions to the model,text
healsl_rd2_rapid_gpt3_v2,param_max_tokens,Maximum number of tokens allowed in the output,int
healsl_rd2_rapid_gpt3_v2,param_temperature,"Range from 0 to 2; lower values make the output more focused and deterministic, while higher values make it more random.",int
healsl_rd2_rapid_gpt3_v2,output_created,Date and time (Eastern time) when the output was generated.,text
healsl_rd2_rapid_gpt3_v2,output_usage_completion_tokens,Number of tokens used in the output prompt,int
healsl_rd2_rapid_gpt3_v2,output_usage_prompt_tokens,Number of tokens used in the input prompt,int
healsl_rd2_rapid_gpt3_v2,output_msg,Output assigned by the model,text
healsl_rd2_rapid_gpt3_v2,icd10_count,Number of ICD-10 codes extracted from the output,int
healsl_rd2_rapid_gpt3_v2,output_probs,"List of dictionaries containing ICD-10 codes, their log probabilities, and mean probability",text
healsl_rd2_rapid_gpt3_v2,age_group,Age group of the deceased,text
healsl_rd2_rapid_gpt3_v2,round,Study round when the verbal autopsy record was collected,text
healsl_rd2_rapid_gpt3_v2,output,"Raw output object assigned by the model, converted to JSON format",text
healsl_rd1_rapid_gpt4_v2b,rowid,Unique identifier for each row in the dataset,int
healsl_rd1_rapid_gpt4_v2b,cause1_icd10,First ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt4_v2b,cause2_icd10,Second ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt4_v2b,cause3_icd10,Third ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt4_v2b,cause4_icd10,Fourth ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt4_v2b,cause5_icd10,Fifth ICD-10 code extracted from the model's output,text
healsl_rd1_rapid_gpt4_v2b,param_model,Specific model used for the analysis.,text
healsl_rd1_rapid_gpt4_v2b,param_system_prompt,Provide more broad instructions to the model,text
healsl_rd1_rapid_gpt4_v2b,param_user_prompt,Provide more specific instructions to the model,text
healsl_rd1_rapid_gpt4_v2b,param_max_tokens,Maximum number of tokens allowed in the output,int
healsl_rd1_rapid_gpt4_v2b,param_temperature,"Range from 0 to 2; lower values make the output more focused and deterministic, while higher values make it more random.",int
healsl_rd1_rapid_gpt4_v2b,output_created,Date and time (Eastern time) when the output was generated.,text
healsl_rd1_rapid_gpt4_v2b,output_usage_completion_tokens,Number of tokens used in the output prompt,int
healsl_rd1_rapid_gpt4_v2b,output_usage_prompt_tokens,Number of tokens used in the input prompt,int
healsl_rd1_rapid_gpt4_v2b,output_msg,Output assigned by the model,text
healsl_rd1_rapid_gpt4_v2b,icd10_count,Number of ICD-10 codes extracted from the output,int
healsl_rd1_rapid_gpt4_v2b,output_probs,"List of dictionaries containing ICD-10 codes, their log probabilities, and mean probability",text
healsl_rd1_rapid_gpt4_v2b,age_group,Age group of the deceased,text
healsl_rd1_rapid_gpt4_v2b,round,Study round when the verbal autopsy record was collected,text
healsl_rd1_rapid_gpt4_v2b,output,"Raw output object assigned by the model, converted to JSON format",text
healsl_rd2_rapid_gpt4_v2b,rowid,Unique identifier for each row in the dataset,int
healsl_rd2_rapid_gpt4_v2b,cause1_icd10,First ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt4_v2b,cause2_icd10,Second ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt4_v2b,cause3_icd10,Third ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt4_v2b,cause4_icd10,Fourth ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt4_v2b,cause5_icd10,Fifth ICD-10 code extracted from the model's output,text
healsl_rd2_rapid_gpt4_v2b,param_model,Specific model used for the analysis.,text
healsl_rd2_rapid_gpt4_v2b,param_system_prompt,Provide more broad instructions to the model,text
healsl_rd2_rapid_gpt4_v2b,param_user_prompt,Provide more specific instructions to the model,text
